feature,mean_abs_shap,mean_abs_no pCR,mean_abs_pCR
age,0.0014984306997419996,0.0014984299997533013,0.0014984313997306992
analysis cohort,0.0010852761372059055,0.0010852756188251072,0.0010852766555867026
MRLD,0.0009926869385942282,0.0009926863257507129,0.0009926875514377441
HR/HER2_HR - / HER2 - (TN),0.0008307723205403558,0.0008307722027945731,0.0008307724382861384
lesion type_Single mass,0.000691949844060998,0.0006919503345021182,0.0006919493536198778
race_White,0.0005894249331738267,0.0005894245669644858,0.0005894252993831678
HR/HER2_HR + / HER2 -,0.0005621089378837498,0.0005621078696900184,0.0005621100060774812
race_Black,0.00039030657914866277,0.00039030621160886117,0.00039030694668846464
lesion type_Multiple masses,0.00035671360940406376,0.0003567129470008826,0.00035671427180724484
race_Unknown,0.00031879672265079407,0.00031879636359268015,0.0003187970817089081
lesion type_Multiple NME,0.00011019233680729354,0.00011019209466342414,0.00011019257895116295
lesion type_Single NME,0.00010269249257232462,0.00010269260532887922,0.00010269237981576997
HR/HER2_HR + / HER2 +,0.00010237584289695531,0.00010237601452640124,0.00010237567126750944
HR/HER2_HR - / HER2 +,5.9801200737378426e-05,5.9801304180707246e-05,5.9801097294049606e-05
race_Asian,5.883387705710317e-05,5.883394042029976e-05,5.8833813693906576e-05
race_Multiple Races,3.257828930925046e-05,3.257821180990765e-05,3.257836680859327e-05
race_nan,1.9660935171746788e-05,1.9660685211420063e-05,1.9661185132073514e-05
